INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 72/5000 | Policy Loss: -0.1577 | Value Loss: 0.0943
INFO:root:Epoch 73/5000 | Policy Loss: -0.5110 | Value Loss: 0.1465
INFO:root:Epoch 74/5000 | Policy Loss: -0.0462 | Value Loss: 0.0681
INFO:root:Epoch 75/5000 | Policy Loss: 0.2783 | Value Loss: 0.1113
INFO:root:Epoch 76/5000 | Policy Loss: -0.2541 | Value Loss: 0.1276
INFO:root:Epoch 77/5000 | Policy Loss: -0.1031 | Value Loss: 0.6595
INFO:root:Epoch 78/5000 | Policy Loss: 0.1859 | Value Loss: 0.0908
INFO:root:Epoch 79/5000 | Policy Loss: 0.5508 | Value Loss: 0.1342
INFO:root:Epoch 80/5000 | Policy Loss: -0.2234 | Value Loss: 0.0744
INFO:root:Epoch 80 evaluation score: 0.59
INFO:root:Epoch 81/5000 | Policy Loss: 0.3859 | Value Loss: 0.0913
INFO:root:Epoch 82/5000 | Policy Loss: 0.2117 | Value Loss: 0.0350
INFO:root:Epoch 83/5000 | Policy Loss: -0.0111 | Value Loss: 0.0791
INFO:root:Epoch 84/5000 | Policy Loss: 0.2754 | Value Loss: 0.0445
INFO:root:Epoch 85/5000 | Policy Loss: 0.3623 | Value Loss: 0.0306
INFO:root:Epoch 86/5000 | Policy Loss: 0.1503 | Value Loss: 0.0242
INFO:root:Epoch 87/5000 | Policy Loss: -0.6781 | Value Loss: 0.5664
INFO:root:Epoch 88/5000 | Policy Loss: 0.3646 | Value Loss: 0.0639
INFO:root:Epoch 89/5000 | Policy Loss: 0.2498 | Value Loss: 0.0373
INFO:root:Epoch 90/5000 | Policy Loss: -0.6563 | Value Loss: 1.7146
INFO:root:Epoch 91/5000 | Policy Loss: 0.0927 | Value Loss: 0.1318
INFO:root:Epoch 92/5000 | Policy Loss: 0.0879 | Value Loss: 0.1033
INFO:root:Epoch 93/5000 | Policy Loss: 0.1132 | Value Loss: 0.0567
INFO:root:Epoch 94/5000 | Policy Loss: 0.2886 | Value Loss: 0.0555
INFO:root:Epoch 95/5000 | Policy Loss: -0.0012 | Value Loss: 0.0318
INFO:root:Epoch 96/5000 | Policy Loss: -0.4472 | Value Loss: 1.1204
INFO:root:Epoch 97/5000 | Policy Loss: 0.2762 | Value Loss: 0.2188
INFO:root:Epoch 98/5000 | Policy Loss: 0.3783 | Value Loss: 0.0715
INFO:root:Epoch 99/5000 | Policy Loss: -0.2097 | Value Loss: 0.1819
INFO:root:Epoch 100/5000 | Policy Loss: -0.3162 | Value Loss: 0.3057
INFO:root:Epoch 100 evaluation score: 0.22
INFO:root:Epoch 101/5000 | Policy Loss: 0.1669 | Value Loss: 0.0594
INFO:root:Epoch 102/5000 | Policy Loss: 0.1849 | Value Loss: 0.0557
INFO:root:Epoch 103/5000 | Policy Loss: 0.0263 | Value Loss: 0.0764
INFO:root:Epoch 104/5000 | Policy Loss: -0.1030 | Value Loss: 0.4483
INFO:root:Epoch 105/5000 | Policy Loss: 0.1454 | Value Loss: 0.0697
INFO:root:Epoch 106/5000 | Policy Loss: 0.4291 | Value Loss: 0.0453
INFO:root:Epoch 107/5000 | Policy Loss: 0.2701 | Value Loss: 0.0350
INFO:root:Epoch 108/5000 | Policy Loss: 0.0296 | Value Loss: 0.0778
INFO:root:Epoch 109/5000 | Policy Loss: -0.1059 | Value Loss: 0.1501
INFO:root:Epoch 110/5000 | Policy Loss: -0.0991 | Value Loss: 0.0852
INFO:root:Epoch 111/5000 | Policy Loss: -0.2407 | Value Loss: 0.1061
INFO:root:Epoch 112/5000 | Policy Loss: -0.3330 | Value Loss: 0.3742
INFO:root:Epoch 113/5000 | Policy Loss: 0.1617 | Value Loss: 0.0954
INFO:root:Epoch 114/5000 | Policy Loss: 0.2805 | Value Loss: 0.0470
INFO:root:Epoch 115/5000 | Policy Loss: 0.0759 | Value Loss: 0.0283
INFO:root:Epoch 116/5000 | Policy Loss: -0.3487 | Value Loss: 0.1236
INFO:root:Epoch 117/5000 | Policy Loss: -0.2186 | Value Loss: 0.3687
INFO:root:Epoch 118/5000 | Policy Loss: 0.0465 | Value Loss: 0.0775
INFO:root:Epoch 119/5000 | Policy Loss: 0.3258 | Value Loss: 0.0631
INFO:root:Epoch 120/5000 | Policy Loss: 0.2666 | Value Loss: 0.0242
INFO:root:Epoch 120 evaluation score: 0.44
INFO:root:Epoch 121/5000 | Policy Loss: 0.1550 | Value Loss: 0.0211
INFO:root:Epoch 122/5000 | Policy Loss: -0.0551 | Value Loss: 0.1185
INFO:root:Epoch 123/5000 | Policy Loss: 0.1576 | Value Loss: 0.0195
INFO:root:Epoch 124/5000 | Policy Loss: -0.9347 | Value Loss: 0.9361
INFO:root:Epoch 125/5000 | Policy Loss: 0.4073 | Value Loss: 0.1620
INFO:root:Epoch 126/5000 | Policy Loss: 0.2373 | Value Loss: 0.0483
INFO:root:Epoch 127/5000 | Policy Loss: -0.0991 | Value Loss: 0.2608
INFO:root:Epoch 128/5000 | Policy Loss: 0.5174 | Value Loss: 0.1072
INFO:root:Epoch 129/5000 | Policy Loss: -0.0514 | Value Loss: 0.2418
INFO:root:Epoch 130/5000 | Policy Loss: 0.2191 | Value Loss: 0.0384
INFO:root:Epoch 131/5000 | Policy Loss: -0.1469 | Value Loss: 0.0526
INFO:root:Epoch 132/5000 | Policy Loss: 0.0013 | Value Loss: 0.0303
INFO:root:Epoch 133/5000 | Policy Loss: 0.2221 | Value Loss: 0.0458
INFO:root:Epoch 134/5000 | Policy Loss: 0.1353 | Value Loss: 0.1221
INFO:root:Epoch 135/5000 | Policy Loss: -0.2067 | Value Loss: 0.1578
INFO:root:Epoch 136/5000 | Policy Loss: -0.8872 | Value Loss: 1.4940
INFO:root:Epoch 137/5000 | Policy Loss: -0.4732 | Value Loss: 0.2488
INFO:root:Epoch 138/5000 | Policy Loss: -0.1905 | Value Loss: 0.1314
INFO:root:Epoch 139/5000 | Policy Loss: -0.2360 | Value Loss: 0.1606
INFO:root:Epoch 140/5000 | Policy Loss: 0.3235 | Value Loss: 0.0523
INFO:root:Epoch 140 evaluation score: 0.25
INFO:root:Epoch 141/5000 | Policy Loss: 0.0567 | Value Loss: 0.0647
INFO:root:Epoch 142/5000 | Policy Loss: -0.0534 | Value Loss: 0.1240
INFO:root:Epoch 143/5000 | Policy Loss: 0.2405 | Value Loss: 0.0490
INFO:root:Epoch 144/5000 | Policy Loss: 0.1225 | Value Loss: 0.0274
INFO:root:Epoch 145/5000 | Policy Loss: -0.1089 | Value Loss: 0.0779
INFO:root:Epoch 146/5000 | Policy Loss: 0.0921 | Value Loss: 0.0334
INFO:root:Epoch 147/5000 | Policy Loss: -0.1249 | Value Loss: 0.1120
INFO:root:Epoch 148/5000 | Policy Loss: 0.0011 | Value Loss: 0.0330
INFO:root:Epoch 149/5000 | Policy Loss: -0.2394 | Value Loss: 0.3309
INFO:root:Epoch 150/5000 | Policy Loss: 0.5057 | Value Loss: 0.2652
